size,rank,NX,omp_threads,setup_time,comm_time,comp_time
32,17,10000,4,0.297320,9.636249,7.583975
32,17,10000,8,0.308645,8.927658,3.833322
32,17,1000,16,0.298510,0.125069,0.038908
32,17,1000,1,0.283074,0.256189,0.289627
32,17,1000,2,0.263517,0.137225,0.186991
32,17,1000,32,0.282099,0.093734,0.025331
32,17,1000,4,0.276989,0.181126,0.128959
32,17,1000,8,0.308573,0.089053,0.067163
32,18,10000,16,0.293669,7.795588,2.005395
32,18,10000,1,0.299782,10.067027,29.742893
32,18,10000,2,0.298113,9.833673,15.053763
32,18,10000,32,0.300399,5.566099,1.029348
32,18,10000,4,0.297193,9.579072,7.641127
32,18,10000,8,0.308488,8.909487,3.851419
32,18,1000,16,0.298480,0.136202,0.027735
32,18,1000,1,0.283020,0.251510,0.294305
32,18,1000,2,0.263425,0.172061,0.152164
32,18,1000,32,0.282069,0.095849,0.023217
32,18,1000,4,0.277075,0.229340,0.080750
32,18,1000,8,0.308262,0.111786,0.044397
32,19,10000,16,0.293770,7.795149,2.005814
32,19,10000,1,0.299780,10.034870,29.775196
32,19,10000,2,0.298273,9.791187,15.096177
32,19,10000,32,0.300488,5.574994,1.020473
32,19,10000,4,0.297103,9.593472,7.626723
32,19,10000,8,0.308441,8.896441,3.864442
32,19,1000,16,0.298571,0.135726,0.028256
32,19,1000,1,0.282985,0.248478,0.297335
32,19,1000,2,0.263628,0.170541,0.153670
32,19,1000,32,0.282033,0.097210,0.021854
32,19,1000,4,0.276940,0.228655,0.081414
32,19,1000,8,0.308310,0.106795,0.049384
32,1,10000,16,0.293797,7.387659,2.413296
32,1,10000,1,0.299847,9.948786,29.860905
32,1,10000,2,0.298256,9.543150,15.344111
32,1,10000,32,0.300532,5.200660,1.394806
32,1,10000,4,0.297252,9.221996,7.998314
32,1,10000,8,0.308617,8.506207,4.254647
32,1,1000,16,0.298613,0.136928,0.027061
32,1,1000,1,0.283199,0.248668,0.297153
32,1,1000,2,0.263871,0.173901,0.150322
32,1,1000,32,0.282260,0.098001,0.021078
32,1,1000,4,0.277088,0.232189,0.077894
32,1,1000,8,0.308453,0.114156,0.042020
32,20,10000,16,0.293702,7.800757,2.000289
32,20,10000,1,0.299734,10.009672,29.800427
32,20,10000,2,0.298232,9.819269,15.068060
32,20,10000,32,0.300397,5.563789,1.031516
32,20,10000,4,0.297094,9.594451,7.625781
32,20,10000,8,0.308841,8.895527,3.865380
32,20,1000,16,0.298429,0.136018,0.027955
32,20,1000,1,0.283076,0.247388,0.298295
32,20,1000,2,0.263655,0.169786,0.154435
32,20,1000,32,0.282152,0.094782,0.024281
32,20,1000,4,0.276982,0.227862,0.082201
32,20,1000,8,0.308336,0.111908,0.044264
32,21,10000,16,0.293597,7.803065,1.997911
32,21,10000,1,0.299733,10.210145,29.599886
32,21,10000,2,0.298214,9.890247,14.996944
32,21,10000,32,0.300379,5.586296,1.009198
32,21,10000,4,0.297123,9.622504,7.597843
32,21,10000,8,0.308557,8.921020,3.839905
32,21,1000,16,0.298642,0.135955,0.028024
32,21,1000,1,0.282911,0.246553,0.299255
32,21,1000,2,0.263487,0.168937,0.155270
32,21,1000,32,0.281844,0.093825,0.025237
32,21,1000,4,0.276884,0.202131,0.107975
32,21,1000,8,0.308316,0.104578,0.051620
32,22,10000,16,0.293645,7.812196,1.988813
32,22,10000,1,0.299874,10.207687,29.602320
32,22,10000,2,0.298171,9.897634,14.989590
32,22,10000,32,0.300444,5.587736,1.007704
32,22,10000,4,0.297052,9.632182,7.587916
32,22,10000,8,0.308610,8.926359,3.834505
32,22,1000,16,0.298479,0.135787,0.028175
32,22,1000,1,0.283042,0.245658,0.300152
32,22,1000,2,0.263539,0.159692,0.164499
32,22,1000,32,0.282029,0.097837,0.021245
32,22,1000,4,0.277075,0.227913,0.082171
32,22,1000,8,0.308360,0.111940,0.044248
32,23,10000,16,0.293626,7.806103,1.994991
32,23,10000,1,0.299823,10.194304,29.615770
32,23,10000,2,0.298329,9.880430,15.006889
32,23,10000,32,0.300426,5.581702,1.013735
32,23,10000,4,0.297030,9.639663,7.580389
32,23,10000,8,0.308668,8.932778,3.828153
32,23,1000,16,0.298396,0.136227,0.027763
32,23,1000,1,0.281424,0.244398,0.301409
32,23,1000,2,0.263386,0.167748,0.156451
32,23,1000,32,0.282037,0.097035,0.022022
32,23,1000,4,0.276943,0.227574,0.082521
32,23,1000,8,0.308300,0.111802,0.044378
32,24,10000,16,0.293829,7.807989,1.992970
32,24,10000,1,0.299775,10.196185,29.613788
32,24,10000,2,0.298341,9.881678,15.005557
32,24,10000,32,0.300405,5.589200,1.006204
32,24,10000,4,0.297118,9.635484,7.584719
32,24,10000,8,0.308472,8.928403,3.832487
32,24,1000,16,0.298417,0.124011,0.039971
32,24,1000,1,0.282929,0.243220,0.302572
32,24,1000,2,0.263488,0.167102,0.157089
32,24,1000,32,0.281918,0.097422,0.021628
32,24,1000,4,0.276935,0.224856,0.085200
32,24,1000,8,0.308323,0.111838,0.044332
32,25,10000,16,0.293665,7.800322,2.000789
32,25,10000,1,0.299722,9.987104,29.822966
32,25,10000,2,0.298109,9.859671,15.027703
32,25,10000,32,0.300370,5.547217,1.048288
32,25,10000,4,0.297124,9.583778,7.636604
32,25,10000,8,0.308701,8.871755,3.889067
32,25,1000,16,0.298348,0.136129,0.027857
32,25,1000,1,0.283263,0.242104,0.303714
32,25,1000,2,0.263536,0.167134,0.157055
32,25,1000,32,0.282129,0.097296,0.021758
